Public Site Region Name,Consumption Band Name,Lower kWh p.a. Limit,Upper kWh p.a. Limit,Tariff Code,Use for default,Description,Unit of Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Average
Far North,Low User Special,0,8000,Fixed,Yes,Daily Charge,$/day,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Far North,Low User Special,0,8000,UN,No,Uncontrolled,$/kWh,0.3609,0.3639,0.3745,0.3881,0.3896,0.3859,0.3863,0.3808,0.3728,0.3641,0.3606,0.3579,0.3742
Far North,Low User Special,0,8000,IN,Yes,All Inclusive,$/kWh,0.3004,0.3034,0.314,0.3276,0.3291,0.3254,0.3258,0.3203,0.3123,0.3036,0.3001,0.2974,0.3137
Far North,Low User Special,0,8000,CN,No,Controlled,$/kWh,0.1918,0.1948,0.2054,0.219,0.2205,0.2168,0.2172,0.2117,0.2037,0.195,0.1915,0.1888,0.2051
Far North,Low User Special,0,8000,D,No,Day,$/kWh,0.326,0.329,0.3396,0.3532,0.3547,0.351,0.3514,0.3459,0.3379,0.3292,0.3257,0.323,0.3393
Far North,Low User Special,0,8000,N,No,Night,$/kWh,0.159,0.162,0.1726,0.1862,0.1877,0.184,0.1844,0.1789,0.1709,0.1622,0.1587,0.156,0.1723
Far North,Standard User Special,"8,000",,Fixed,Yes,Daily Charge,$/day,1.6931,1.6931,1.6931,1.6931,1.6931,1.6931,1.6931,1.6931,1.6931,1.6931,1.6931,1.6931,1.6931
Far North,Standard User Special,"8,000",,UN,No,Uncontrolled,$/kWh,0.2995,0.3025,0.3131,0.3267,0.3282,0.3245,0.3249,0.3194,0.3114,0.3027,0.2992,0.2965,0.3128
Far North,Standard User Special,"8,000",,IN,Yes,All Inclusive,$/kWh,0.2391,0.2421,0.2527,0.2663,0.2678,0.2641,0.2645,0.259,0.251,0.2423,0.2388,0.2361,0.2524
Far North,Standard User Special,"8,000",,CN,No,Controlled,$/kWh,0.1547,0.1577,0.1683,0.1819,0.1834,0.1797,0.1801,0.1746,0.1666,0.1579,0.1544,0.1517,0.168
Far North,Standard User Special,"8,000",,D,No,Day,$/kWh,0.255,0.258,0.2686,0.2822,0.2837,0.28,0.2804,0.2749,0.2669,0.2582,0.2547,0.252,0.2683
Northland,Low User Special,0,8000,Fixed,Yes,Daily Charge,$/day,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Northland,Low User Special,0,8000,UN,Yes,Uncontrolled,$/kWh,0.2448,0.2461,0.2593,0.2712,0.2727,0.2691,0.2694,0.2656,0.2575,0.2488,0.2454,0.2418,0.2581
Northland,Low User Special,0,8000,CN,Yes,Controlled,$/kWh,0.1548,0.1561,0.1693,0.1812,0.1827,0.1791,0.1794,0.1756,0.1675,0.1588,0.1554,0.1518,0.1681
Northland,Low User Special,0,8000,N8,No,Night Meter,$/kWh,0.1268,0.1281,0.1413,0.1532,0.1547,0.1511,0.1514,0.1476,0.1395,0.1308,0.1274,0.1238,0.1401
Northland,Standard User Special,"8,000",,Fixed,Yes,Daily Charge,$/day,0.8431,0.8431,0.8431,0.8431,0.8431,0.8431,0.8431,0.8431,0.8431,0.8431,0.8431,0.8431,0.8431
Northland,Standard User Special,"8,000",,UN,Yes,Uncontrolled,$/kWh,0.22,0.2213,0.2345,0.2464,0.2479,0.2443,0.2446,0.2408,0.2327,0.224,0.2206,0.217,0.2333
Northland,Standard User Special,"8,000",,CN,Yes,Controlled,$/kWh,0.13,0.1313,0.1445,0.1564,0.1579,0.1543,0.1546,0.1508,0.1427,0.134,0.1306,0.127,0.1433
Northland,Standard User Special,"8,000",,N8,No,Night Meter,$/kWh,0.102,0.1033,0.1165,0.1284,0.1299,0.1263,0.1266,0.1228,0.1147,0.106,0.1026,0.099,0.1153
